ID,name,energy,protein,carbs,sugar,calcium,potassium,sodium,fa_sat,fa_mono,fa_poly,cholest
416,"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",81,4.19,13.66,3.17,38,158,187,0.252,0.415,0.269,2
417,"SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",71,3.85,11.83,5.06,17,183,166,0.3,0.37,0.168,2
418,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",68,4,11.4,1.57,16,204,196,0.294,0.282,0.135,3
419,"SOUP,CHICK BROTH,RTS",6,0.64,0.44,0.43,4,18,371,0.013,0.019,0.009,2
420,"CAMPBELL'S,HEALTHY REQUEST,CRM OF CHICK SOUP,COND",50,3,7.5,0.8,8,590,347,0.4,0.4,0.6,4
421,"SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS",65,1.16,5.2,0.64,15,73,416,1.636,1.605,0.974,7
422,"CAMPBELL'S,25% LESS NA CHICK NOODLE SOUP,COND",49,2.9,6.3,0.6,12,66,446,0.4,0.6,0.3,12
423,"CAMPBELL'S,98% FAT FREE CRM OF CELERY SOUP,COND",56,0.81,7.26,0.81,16,484,387,0.806,0.403,1.21,4
424,"CAMPBELL'S,98% FAT FREE CRM OF CHICK SOUP,COND",55,1.8,7.46,0.5,11,33,575,0.56,0.57,0.76,4
425,"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",61,3.24,7.46,2.81,70,179,273,1.094,0.268,0.513,7
426,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",65,2.36,5.76,2.82,68,103,357,1.116,0.877,1.435,4
427,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",61,2.78,5.64,2.62,69,95,354,1.93,1.147,0.155,10
428,"SAUCE,WHITE,THIN,PREPARED-FROM-RECIPE,W/ BUTTER",72,3.95,8.29,5.29,131,167,184,1.6,0.656,0.112,8
429,"SAUCE,SWT & SOUR,PREPARED-FROM-RECIPE",79,1.84,16.72,10.81,16,193,347,0.144,0.253,0.117,1
430,"CAMPBELL'S,CHICK W/ RICE SOUP,COND",68,1.84,11.28,0.23,41,34,645,0.52,0.69,0.37,4
431,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",73,1.61,9.68,2.42,16,77,605,1.21,0.806,2.016,4
432,"CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",73,0.81,7.26,0.81,16,460,516,0.806,2.823,1.21,4
433,"CAMPBELL'S,CRM OF CHICK SOUP,COND",103,1.76,6.03,0.33,13,49,624,2.11,3.75,1.74,9
434,"CAMPBELL'S,CRM OF MUSHROOM W/ RSTD GARLIC SOUP,COND",56,1.61,8.06,0.81,16,484,387,0.806,0.403,0.806,4
435,"CAMPBELL'S,CRM OF POTATO SOUP,COND",71,1.51,13.25,1.44,17,165,604,0.34,0.28,0.63,1
436,"CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",97,3.23,8.87,0.81,16,56,702,1.21,1.21,2.419,12
437,"CAMPBELL'S RED & WHITE,SCOOBY-DOO SOUP,COND",56,2.38,8.73,0.79,16,40,627,0.397,0.794,0.397,4
438,"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",97,2.42,8.06,1.61,65,81,637,2.419,1.613,1.613,8
439,"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",55,2.42,9.82,6.59,68,343,206,0.707,0.356,0.113,4
440,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND",51,2.36,7.53,1.11,11,22,739,0.34,0.56,0.31,8
441,"CAMPBELL'S,VEG BF SOUP,COND",65,3.79,11.8,1.7,13,169,656,0.09,0.1,0.07,3
442,"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",141,7.81,23.44,3.13,16,352,664,0.391,0.781,0.391,4
443,"CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP",66,2.32,7.09,1.09,16,50,339,0.68,0.56,1.95,12
444,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63,2.88,8.31,1.47,31,147,349,0.558,0.793,0.666,1
445,"CAMPBELL'S CHUNKY,HEALTHY REQUEST CHICK NOODLE SOUP",41,2.97,5.88,1.12,12,317,161,0.18,0.4,0.18,8
446,"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",34,1.93,3.58,1.03,8,40,325,0.455,0.495,0.195,2
447,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",56,2.89,8.98,1.17,10,129,308,0.377,0.381,0.137,4
448,"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",23,1.08,3.43,1.02,10,31,391,0.13,0.27,0.14,2
449,"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",24,1.45,2.92,0.08,9,41,238,0.185,0.37,0.17,3
450,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57,2.49,9.23,2.49,18,196,388,0.608,0.496,0.046,5
451,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",30,0.85,4.77,1.32,11,74,226,0.149,0.149,0.503,1
452,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",36,1.11,3.27,0.24,9,24,391,1.29,0.595,0.075,7
453,"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",56,1.78,8.44,0.73,9,88,367,0.635,0.69,0.27,2
454,"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",47,0.82,8.54,2.95,11,129,319,0.2,0.235,0.525,1
455,"SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",31,2.23,4.06,0.45,8,69,349,0.34,0.32,0.045,2
456,"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",33,1.21,5.35,0.82,9,79,253,0.18,0.225,0.32,1
457,"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52,3.93,5.57,1.31,7,161,46,0.492,0.656,0.328,10
458,"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",41,0.68,5.11,1.59,29,82,454,1.3,0.45,0.16,1
459,"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",54,1.01,6.38,2.01,13,57,20,0.839,0.503,1.342,5
460,"SOUP,TOMATO,DRY,MIX,PREP W/ H2O",38,0.93,7.17,3.9,29,111,356,0.286,0.237,0.063,2
461,"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",23,0.84,3.67,0.31,2,13,229,0.122,0.205,0.155,4
462,"SOUP,BROCCOLI CHS,CND,COND,COMM",87,2.1,7.7,2.12,41,207,661,1.6,2,1.7,4
463,"SAUCE,CHS SAU MIX,DRY",438,7.68,60.52,10.26,204,428,3202,8.44,6.868,0.983,23
464,"SOUP,PROGRESSO,BF BARLEY,TRADITIONAL,READY TO SERVE",47,2.71,6.69,1.27,12,110,284,0.304,0.336,0.312,3
465,"SOUP,BF & VEG,CND,RTS",48,3.18,6.16,1.25,18,174,326,0.407,0.296,0.342,7
466,"SAUCE,CHS,RTS",174,6.71,6.83,0.42,184,30,828,6.01,3.823,2.599,29
467,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",50,1.39,7.43,4.91,26,320,437,0.218,0.298,0.673,2
468,"SOUP,CRM OF CHICK,CND,COND,RED NA",58,1.8,9.5,0.39,11,272,357,0.5,0.4,0.4,6
469,"GRAVY,BROWN INST,DRY",380,8.53,59.78,9.23,116,367,5053,5.866,5.488,0.499,12
470,"GRAVY,INST BF,DRY",369,9.8,61.1,23.9,141,450,5203,4.88,3.659,0.938,11
471,"GRAVY,INST TURKEY,DRY",409,11.72,57.56,7.6,115,306,4090,4.931,5.25,4.478,24
472,"SAUCE,ALFREDO MIX,DRY",535,15.32,36.52,5.4,467,254,2590,13.18,13.669,8.61,56
473,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",25,1.27,2.95,0.27,6,22,173,0.262,0.418,0.264,5
474,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",53,1,4.53,1.72,19,41,20,1.005,0.704,1.739,1
475,"POTATO SOUP,INST,DRY MIX",343,9.2,76.14,10,172,1248,2400,0.613,1.185,1.025,12
476,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",69,5.1,8.76,1.42,11,153,35,0.597,0.895,0.418,7
477,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",51,1.41,8.06,5.5,27,319,30,0.17,0.377,0.508,2
478,"GRAVY,MEAT OR POULTRY,LO NA,PREP",53,3.8,6.16,0.01,6,81,18,1.003,1.068,0.095,3
479,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",69,4.3,9.58,0.84,13,140,25,1.621,0.394,0.068,6
480,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",98,5.1,9,1.68,20,140,435,2.324,1.556,0.246,21
481,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",438,16.7,64.88,14.47,187,309,1067,3.433,5.365,4.485,13
482,"GRAVY,HEINZ HOME STYLE,SAVORY BF",39,1.09,6.24,0.52,6,22,587,0.4,0.432,0.046,2
483,"CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND",47,2.4,6.51,0.89,12,350,334,0.4,0.6,0.3,10
484,"HEALTHY REQUEST,CRM OF CELERY,COND",56,0.81,9.68,1.61,81,484,331,0.403,0.403,0.806,4
485,"CAMPBELL'S HEALTHY REQUEST,HOMESTYLE CHICK NOODLE SOUP,COND",51,2.7,7.8,0.6,13,299,317,0.3,0.4,0.2,7
486,"GRAVY,CAMPBELL'S,CHICK",51,0.79,5.87,0.94,12,55,424,0.603,0.862,0.361,6
487,SAUSAGE  BERLINER  PORK  BF,230,15.27,2.59,2.35,12,283,1297,6.08,8,1.58,46
488,BLOOD SAUSAGE,379,14.6,1.29,1.29,6,38,680,13.4,15.9,3.46,120
489,BOCKWURST  PORK  VEAL  RAW,301,14.03,2.95,1.33,41,270,756,10.256,13.138,2.328,93
490,"BOLOGNA,BF",299,10.91,4.29,2.05,21,351,1013,10.487,12.198,1.182,57
491,"BOLOGNA,BF & PORK",308,15.2,5.49,4.42,85,315,960,9.301,10.526,1.12,60
492,BOLOGNA  TURKEY,209,11.42,4.68,2.9,123,135,1071,4.355,6.836,3.854,75
493,"BROTWURST,PORK,BF,LINK",323,14.3,2.98,2.98,48,281,1112,9.93,13.34,2.83,63
494,"CHEESEFURTER,CHS SMOKIE,PORK,BF",328,14.1,1.51,1.51,58,206,1082,10.47,13.64,3.02,68
495,CHICKEN SPRD,158,18.01,4.05,0.47,16,106,722,3.23,4.8,2.35,56
496,"DUTCH BRAND LOAF,CHICK,PORK & BF",273,12,3.93,0.9,7,210,786,8.806,11.132,2.972,60
497,"FRANKFURTER,BF,UNHTD",315,11.69,2.97,1.17,14,364,865,11.46,13.552,1.098,58
498,"FRANKFURTER,CHICKEN",223,15.51,2.74,2.98,74,202,1027,3.856,5.932,3.873,96
499,"FRANKFURTER,TURKEY",223,12.23,3.81,1.21,148,392,911,4.028,5.736,3.949,77
500,"ROAST BF,DELI STYLE,PREPACKAGED,SLICED",115,18.62,0.64,0.29,5,647,853,1.318,1.521,0.27,51
501,"TURKEY BREAST,LO SALT,PREPACKAGED OR DELI,LUNCHEON MEAT",109,21.81,3.51,3.51,8,211,772,0.197,0.261,0.184,44
502,"PASTRAMI,TURKEY",139,16.3,3.34,3.34,11,345,1123,1.395,1.93,1.42,68
503,PEPPERED LOAF  PORK  BF,149,17.3,4.53,4.61,54,394,732,2.28,3,0.5,46
504,"PICKLE&PIMIENTO LOAF,PORK",225,11.23,8.46,8.46,109,371,1040,5.287,7.06,2.804,58
505,"PORK SAUSAGE,LINK/PATTY,UNPREP",288,15.39,0.93,0.93,8,307,739,7.57,9.844,4.432,70
506,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED",325,18.53,1.42,1.09,9,342,814,8.826,11.541,5.115,86
507,SALAMI  CKD  BF,261,12.6,1.9,1.5,6,188,1140,9.865,10.648,1.036,71
508,"SALAMI,CKD,BF&PORK",336,21.85,2.4,0.96,15,316,1740,9.316,11.127,2.529,89
509,"SALAMI,COOKED,TURKEY",172,19.2,1.55,1.12,40,216,1107,2.783,3.172,2.466,76
510,"SALAMI,DRY OR HARD,PORK,BF",378,21.07,0.72,0.26,24,363,1756,11.418,14.717,4.895,108
511,"SMOKED LINK SAUSAGE,PORK",309,11.98,0.94,0.94,11,483,827,9.313,11.212,3.626,61
512,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",362,17.45,3.33,0.85,9,260,1300,11.51,12.97,1.2,74
513,"TURKEY BREAST,SLICED,PREPACKAGED",106,14.81,2.2,0.91,14,371,898,0.906,1.145,1.024,49
514,"SAUSAGE,ITALIAN,PORK,CKD",344,19.12,4.27,1.86,21,304,743,10.195,17.108,3.518,57
515,"OSCAR MAYER,BOLOGNA (BEEF)",316,11.05,2.45,1.4,12,168,1179,12.85,15.21,1.11,64
516,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331,14.25,2.6,1.2,9,202,1159,10.94,15.48,3.73,178
517,OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),109,19.85,4.3,4.3,10,329,1438,0.394,0.564,0.218,53
518,"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180,16.3,3.65,2.2,9,260,1249,4.056,5.829,1.275,59
519,"OSCAR MAYER,SALAMI (HARD)",368,25.9,1.6,0.2,12,356,1976,11.085,15.011,2.856,97
520,"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",315,13.5,1.7,0.3,67,152,1036,11.16,13.19,2.79,67
521,"OSCAR MAYER,WIENERS (BEEF FRANKS)",329,11.35,2.78,1.6,10,130,1025,12.46,14.74,1.36,56
522,"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196,15.23,1.35,1.26,39,461,1032,4.514,7.02,1.47,75
523,LIVERWURST SPRD,305,12.38,5.89,1.65,22,170,700,9.925,12.286,2.427,118
524,ROAST BF SPRD,223,15.27,3.73,0.71,23,259,724,6.4,5.587,0.427,70
525,SALAMI  PORK  BF  LESS NA,396,15.01,15.38,6.21,94,1372,623,10.58,13.32,3.067,90
526,SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,296,12.89,2.13,0.11,57,206,848,9.482,12.357,2.735,63
527,SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,426,19.43,1.82,0.12,81,206,1483,10.47,13.68,3.02,89
528,BACON & BF STKS,517,29.1,0.8,0.8,14,385,1420,16,21.9,4.3,102
529,SALAMI  ITALIAN  PORK,425,21.7,1.2,1.2,10,340,1890,13.1,18.2,3.6,80
530,SAUSAGE  ITALIAN  TURKEY  SMOKED,158,15.05,4.65,3.2,21,197,928,3.401,2.38,1.572,53
531,SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216,13.6,8.1,1.9,100,246,1034,4.8,7.165,0.846,120
532,SAUSAGE  TURKEY  HOT  SMOKED,158,15.05,4.65,3.2,21,197,916,3.401,2.38,1.572,53
533,CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,80,16.8,2.25,0.2,4,316,1040,0.13,0.16,0.06,36
534,CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,79,16.79,2.17,0.1,6,67,1087,0.13,0.121,0.073,36
535,OVEN-ROASTED CHICK BREAST ROLL,134,14.59,1.79,0.43,6,324,883,2.48,2.816,1.456,39
536,BOLOGNA  PORK  TURKEY & BF,336,11.56,6.66,1.35,31,222,1055,11.7,12.789,2.512,75
537,TURKEY  WHITE  ROTISSERIE  DELI CUT,112,13.5,7.7,4,16,349,1200,0.118,0.591,0.37,55
538,FRANKFURTER  BF  HTD,322,11.69,2.66,1.27,11,252,852,11.593,12.722,0.808,58
539,"SCRAPPLE,PORK",213,8.06,14.06,0.2,7,158,482,4.732,6.156,1.664,49
540,"PORK SAUSAGE,LINK/PATTY,FULLY CKD,MICROWAVED",438,15.12,0.62,0.62,17,225,990,13.557,16.448,8.041,79
541,"CHICKEN BREAST,DELI,ROTISSERIE SEASONED,SLICED,PREPACKAGED",98,17.4,2.92,0.75,11,360,1032,0.564,0.74,0.452,51
542,"Frankfurter, meat and poultry, unheated",277,9.72,5.02,2.75,106,359,976,7.583,9.929,5.386,78
543,"Frankfurter, meat and poultry, cooked, boiled",298,10.31,4.96,2.7,107,323,914,8.216,10.759,5.713,84
544,"Frankfurter, meat and poultry, cooked, grilled",302,10.67,5.24,2.85,118,387,1079,8.218,10.723,5.882,85
545,"PORK SAUSAGE,LINK/PATTY,FULLY CKD,UNHTD",392,13.46,0.69,0.53,16,211,810,12.129,14.736,6.916,74
546,"KIELBASA,FULLY CKD,GRILLED",337,12.45,5.03,2.39,42,306,1062,9.894,12.564,5.383,73
547,"KIELBASA,FULLY CKD,PAN-FRIED",333,12.36,4.78,2.38,40,304,1046,9.487,11.79,5.458,73
548,"KIELBASA,FULLY CKD,UNHTD",325,10.84,3.72,2.05,24,217,928,9.684,12.186,5.3,61
549,"BOLOGNA,MEAT & POULTRY",281,10.34,6.31,1.97,125,320,1379,7.389,10.269,4.59,92
550,"MEATBALLS,FRZ,ITALIAN STYLE",286,14.4,8.06,3.47,80,296,666,7.627,9.188,3.346,66
551,"TURKEY BACON,MICROWAVED",368,29.5,4.24,4.24,163,666,2021,6.933,9.382,6.871,153
552,"HAM,SMOKED,EX LN,LO NA",141,18.52,10.7,10.68,5,330,1062,1.786,0.609,0.187,50
553,"SAUSAGE,PORK,TURKEY,& BF,RED NA",284,10.71,0.11,0.02,24,240,679,10.714,4.378,1.484,70
554,"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",421,10.55,73.65,20.34,109,483,50,1.24,6.6,2.68,2
555,"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",363,8.98,72.96,2.76,418,132,1644,1.33,2.88,1.05,2
556,"CEREALS RTE,QUAKER,QUAKER GRANOLA W/ OATS,WHEAT& RAISINS",412,9.66,74.67,24.63,101,501,54,1.12,5.87,2.39,2
557,"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",388,8.42,80.57,25.65,65,431,234,0.97,2.548,1.438,1
558,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",395,4.3,85.59,29.6,10,51,567,0.89,1.2,0.2,1
559,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",360,8.8,74.18,2.02,418,134,1518,1.08,2.29,1.11,1
560,"CEREALS,QUAKER,INST GRITS,HAM 'N' CHS FLAVOR,DRY",355,10.73,71.08,2.69,409,210,1930,1.06,2.26,1.05,1
561,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",404,3.9,90.1,42.6,3,76,630,0.64,2.12,0.258,1
562,MILK & CRL BAR,413,6.47,72.05,45.97,410,254,319,9.114,1.186,0.239,6
563,"CEREALS,KASHI GO LN HOT CRL,CREAMY TRULY VANILLA,DRY",360,22.29,61.09,14.8,95,661,274,0.89,1.6,2.59,1
564,"CEREALS RTE,QUAKER,NAT GRANOLA APPL CRANBERRY ALMOND",418,9.21,74.73,27.43,98,444,47,1.13,6.39,3,2
565,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL",397,7,76.1,35.7,61,222,320,2.5,2.8,5.2,1
566,"CEREALS RTE,KELLOGG'S KRAVE DOUBLE CHOC CRL",397,7.1,75.9,36.3,67,275,320,2.6,2.8,5.2,1
567,"CEREALS,QUAKER,WT CONTROL INST OATMEAL,MAPLE & BROWN SUGAR",361,16.37,64.25,1.25,268,330,642,1.157,2.196,1.852,1
568,"CEREALS,QUAKER,WEIGHT CONTROL INST OATMEAL,BANANA BREAD",361,16.5,64.42,1.29,243,327,619,1.188,2.185,1.807,1
569,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY",386,9.81,69.47,18.71,64,317,337,1.648,3.742,2.863,1
570,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,SMMR BERRY,DRY",353,11.31,72.58,20.43,124,445,354,1.041,1.363,1.34,1
571,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,CHERRY PISTACHIO,DRY",394,12.02,66.73,26.34,132,501,181,1.387,5.695,3.147,1
572,"CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN",361,16.5,64.21,1.27,245,334,618,1.207,2.224,1.839,1
573,"PORK,CURED,BACON,UNPREP",417,12.62,1.28,1,5,198,662,13.296,17.439,6.454,66
574,"CANADIAN BACON,UNPREP",110,20.31,1.34,0.9,6,683,751,0.9,1.09,0.467,48
575,"HORMEL ALWAYS TENDER,PORK TENDERLOIN,TERIYAKI-FLAVORED",119,18.2,4.63,3.33,7,536,413,1.05,1.26,0.6,46
576,"HORMEL ALWAYS TENDER,PORK TENDERLOIN,PEPPERCORN-FLAVORED",110,17.21,1.82,0.14,14,586,594,1.16,1.45,1.05,47
577,"HORMEL ALWAYS TENDER,PORK LOIN FILETS,LEMON GARLIC-FLAVORED",118,17.83,1.79,0.22,6,542,590,1.41,1.83,0.6,42
578,"HORMEL ALWAYS TENDER,CNTR CUT CHOPS,FRSH PORK",167,18.74,0.84,0.28,14,307,378,3.6,4.43,0.83,52
579,"HORMEL ALWAYS TENDER,BNLESS PORK LOIN,FRSH PORK",145,19.02,0.76,0.08,4,310,358,2.84,3.42,0.64,49
580,HORMEL CANADIAN STYLE BACON,122,16.88,1.87,1.43,6,279,1016,1.83,2.49,0.62,49
581,"PORK,CURED,HAM -- H2O ADDED,RUMP,BONE-IN,LN,HTD,RSTD",121,21.41,0.87,0.84,8,250,1150,1.254,1.61,0.387,62
582,"PORK,CURED,HAM -- H2O ADDED,RUMP,BONE-IN,LN,UNHTD",95,15.43,0.67,0.67,7,205,1170,1.227,1.575,0.379,53
583,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN,HTD,RSTD",128,20.92,1.2,0.91,9,241,1060,1.402,1.911,0.641,65
584,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN,HTD,PAN-BROIL",131,22.04,1.48,1.48,11,289,1374,1.439,1.989,0.687,65
585,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN,HTD,PAN-BROIL",122,20.9,1.35,1.1,12,289,1237,1.217,1.662,0.517,64
586,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BNLESS,LN,HTD,PAN-BROIL",123,15.09,4.69,4.69,8,272,1390,1.528,2.125,0.69,45
587,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,HTD,RSTD",123,13.88,4.61,4.61,8,245,1335,1.841,2.458,0.851,43
588,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,UNHTD",116,14.07,4.22,4.22,8,268,1310,1.447,2.041,0.644,43
589,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN,HTD,RSTD",137,24.14,0.48,0.48,10,511,861,1.418,1.995,0.711,72
590,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,HTD,RSTD",145,24.95,0.34,0.34,7,458,820,1.564,2.38,0.6,74
591,"PRK,CRD,HAM W/ NAT JUCS,SPRL SLC,MEAT ONLY,BNLES,LN,HTD,RSTD",126,22.56,1.08,1.08,4,349,986,0.493,0.676,0.286,63
592,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,HTD,RSTD",131,21.28,1.15,1.15,10,264,1267,1.536,2.127,0.634,66
593,"PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL",119,18.82,1.75,1.75,9,337,1223,1.401,1.879,0.54,54
594,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN,HTD,RSTD",117,17.99,1.57,1.57,9,316,1193,1.424,1.983,0.542,53
595,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN,UNHTD",110,17.34,1.45,1.45,8,317,1141,1.428,1.938,0.577,50
596,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN,HTD,RSTD",132,21.69,1.26,1.26,9,224,1045,1.471,1.966,0.713,72
597,"PORK,CURED,HAM W/ NAT JUICES,SLICE,BNLESS,LN,HTD,PAN-BROIL",116,20.95,1.05,1.05,6,364,1163,0.975,1.333,0.424,57
598,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN,HTD,RSTD",113,20.57,0.84,0.81,6,367,1180,1.044,1.422,0.437,56
599,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN,UNHTD",111,19.44,1.03,1.03,6,347,1098,0.934,1.274,0.4,53
600,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN,UNHTD",91,18.65,0.71,0.71,7,229,1040,0.592,0.806,0.27,50
601,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN,UNHTD",95,17.38,1.23,1.23,9,221,1090,0.768,1.061,0.367,54
602,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,UNHTD",107,17.93,1.24,0.97,10,221,1070,1.105,1.53,0.456,58
603,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN,UNHTD",103,14.47,2.82,0.91,9,209,1160,1.266,1.73,0.538,49
604,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,UNHTD,LN",113,17.53,1.2,1.06,8,234,1090,1.384,1.849,0.671,52
605,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN,UNHTD",122,22.71,0.43,0.43,9,303,893,1.16,1.632,0.582,68
606,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,UNHTD",130,25.11,0.3,0.3,7,299,809,1.048,1.595,0.402,63
607,"PORK,CURED,HAM W/ NAT JUICES,SPIRAL SLICE,BNLESS,LN,UNHTD",109,19.25,1.22,1.22,4,317,895,1.009,1.384,0.585,57
608,"PORK,CURED,HAM,FAT,BNLESS,HTD",507,8.77,2,0.28,6,195,677,17.048,23.798,6.47,72
609,"PORK,CURED,HAM,FAT,BNLESS,UNHTD",515,7.5,1.87,0.44,4,174,616,17.433,23.902,6.901,61
610,"PORK,CURED,HAM,SLICE,BONE-IN,LN,HTD,PAN-BROIL",148,27.18,0.74,0.74,15,427,870,1.253,1.613,0.644,73
611,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN & FAT,UNHTD",112,19.38,1.02,1.02,6,346,1096,1.005,1.372,0.428,53
612,"PORK,CURED,HAM W/ NAT JUICES,SPIRL SLCE,BNLES,LN & FAT,UNHTD",129,18.66,1.18,1.18,4,310,881,1.833,2.513,0.902,57
613,"PORK,CURED,HAM W/ NAT JUICES,SLICE,BONE-IN,LN & FAT,UNHTD",159,22.82,0.17,0.04,9,289,839,2.236,2.965,0.967,63
614,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN & FAT,UNHTD",191,22.35,0.32,0.32,6,279,779,3.614,5.088,1.419,62
615,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN & FAT,UNHTD",200,19.7,0.43,0.43,8,278,838,4.373,6.03,1.83,67
